SYMBOL,Asset Turnover,Average Inventory,Average Payables,Average Receivables,Book Value Per Share,Capex Per Share,Capex To Depreciation,Capex To Operating Cash Flow,Capex To Revenue,Capital Expenditure Coverage Ratio,Cash Conversion Cycle,Cash Flow Coverage Ratios,Cash Flow To Debt Ratio,Cash Per Share,Cash Ratio,Company Equity Multiplier,Current Ratio,Days Of Inventory On Hand,Days Of Inventory Outstanding,Days Of Payables Outstanding,Days Of Sales Outstanding,Days Payables Outstanding,Days Sales Outstanding,Debt Equity Ratio,Debt Ratio,Debt To Assets,Debt To Equity,Dividend Paid And Capex Coverage Ratio,Dividend Payout Ratio,Dividend Yield,Earnings Yield,Ebit Per Revenue,Ebt Per Ebit,Effective Tax Rate,Enterprise Value,Enterprise Value Multiple,Enterprise Value Over EBITDA,Ev To Free Cash Flow,Ev To Operating Cash Flow,Ev To Sales,Fixed Asset Turnover,Free Cash Flow Operating Cash Flow Ratio,Free Cash Flow Per Share,Free Cash Flow Yield,Graham Net Net,Graham Number,Gross Profit Margin,Income Quality,Intangibles To Total Assets,Interest Coverage,Interest Debt Per Share,Inventory Turnover,Invested Capital,Long Term Debt To Capitalization,Market Cap,Net Current Asset Value,Net Debt To EBITDA,Net Income Per EBT,Net Income Per Share,Net Profit Margin,Operating Cash Flow Per Share,Operating Cash Flow Sales Ratio,Operating Cycle,Operating Profit Margin,Payables Turnover,Payout Ratio,Pb Ratio,Pe Ratio,Pfcf Ratio,Pocfratio,Pretax Profit Margin,Price Book Value Ratio,Price Cash Flow Ratio,Price Earnings Ratio,Price Earnings To Growth Ratio,Price Fair Value,Price Sales Ratio,Price To Book Ratio,Price To Free Cash Flows Ratio,Price To Operating Cash Flows Ratio,Price To Sales Ratio,Ptb Ratio,Quick Ratio,Receivables Turnover,Research And Ddevelopement To Revenue,Return On Assets,Return On Capital Employed,Return On Equity,Return On Tangible Assets,Revenue Per Share,Roe,Roic,Sales General And Administrative To Revenue,Shareholders Equity Per Share,Short Term Coverage Ratios,Stock Based Compensation To Revenue,Tangible Asset Value,Tangible Book Value Per Share,Total Debt To Capitalization,Working Capital,Year,Returns,Variance
AAPL,1.1178523337727315,5763000000,59439000000,56219000000,3.124822127430853,-0.6603369778285755,-0.9643371757925072,-0.0876619921245016,-0.0271550587328315,-11.407452372058277,-40.209374330927375,1.0173400294830472,1.0173400294830472,2.9787931805221803,0.1535634035146965,6.961536943479634,0.8793560286267226,8.07569806661716,8.07569806661716,104.6852773031054,56.400204905560855,104.6852773031054,56.400204905560855,2.3695334701610355,0.3403750478377344,0.3403750478377344,2.3695334701610355,29.555044761674328,0.1487029448012584,0.006083954603424,0.0409134776150885,0.3028874439552859,0.997203546639651,0.162044616844244,2535790314090.0,19.42524045388039,19.42524045388039,22.75414619213409,20.75947240783948,6.430662580618166,9.362680152907377,0.9123380078754983,6.872425646259799,0.0456852067158133,-12.67929632054538,20.801963754945305,0.4330963056136008,1.2239211246154926,0.0,40.74957352439441,7.585118441624466,45.19733117670845,2.3695334701610355,0.6613535965140913,2439367314090.0,-166678000000,0.738641499605488,0.8379553831557559,6.154614437637777,0.2530964070519973,7.532762624088375,0.309770039155221,64.47590297217802,0.3028874439552859,3.486641191608828,0.1487029448012584,48.14034011071204,24.441823533260525,21.888923611981014,19.97009696269372,0.3020404333448296,48.14034011071204,19.97009696269372,24.441823533260525,2.8871904048663968,48.14034011071204,6.186137718067193,48.14034011071204,21.888923611981014,19.97009696269372,6.186137718067193,48.14034011071204,0.7094075930952969,6.471607693822622,0.0665714836379866,0.2829244092925685,0.6008713457059057,1.969588727502368,0.2829244092925685,24.31727304755197,1.969588727502368,0.5861678044404918,0.0,3.124822127430853,5.786404547607769,0.0229200056805502,50672000000,3.124822127430853,0.7032230102904399,-18577000000,2022,-0.24434065007363662,0.1274235076694541
AMGN,0.4042167657130572,4508000000,1469000000,5229000000,6.804832713754647,-1.7397769516728625,-0.2739244951712028,-0.0962863902890649,-0.0355582570375717,-10.385683760683762,268.4692384358494,0.2496084221337784,0.2496084221337784,17.29553903345725,0.4863262574105947,17.78776290630975,1.414292088990884,280.900718076803,280.900718076803,89.56915391820168,77.13767427724804,89.56915391820168,77.13767427724804,10.63780387872166,0.5980405706300579,0.5980405706300579,10.63780387872166,2.981901840490797,0.6404151404151404,0.0296956156928731,0.0463693217396818,0.2026744671959883,1.3769447047797565,0.1080860332153553,172616320000.0,19.72307129798903,19.72307129798903,19.648983494593057,17.757053801049274,6.557623371196292,4.850377740925005,0.9037136097109352,16.328996282527882,0.0621725414351503,-84.60548327137546,43.18130788515239,0.7566386810014056,1.4836691086691087,0.4853887378879317,3.794452347083926,75.00185873605948,1.2993914807302231,10.63780387872166,0.9107399731805436,141300320000.0,-39274000000,3.578153564899452,0.8919139667846447,12.178438661710038,0.2489077992630019,18.068773234200744,0.3692968126733275,358.03839235405104,0.2026744671959883,4.075063613231552,0.6404151404151404,38.59609942638623,21.565982905982903,16.08427091633466,14.535574529369406,0.2790715343995745,38.59609942638623,14.535574529369406,21.565982905982903,1.2119144741731696,38.59609942638623,5.367941344071724,38.59609942638623,16.08427091633466,14.535574529369406,5.367941344071724,38.59609942638623,0.9477911646586346,4.731799388818983,0.1684458458382403,0.1006127055788455,0.107921673342234,1.7896749521988529,0.1955120553831463,48.927509293680295,1.7896749521988529,0.1116828853400009,0.0,6.804832713754647,6.109993714644878,0.0152338259316947,-27948000000,-51.94795539033457,0.9140731352391682,6499000000,2022,0.21006315410799994,0.04726900225811736
AXP,0.2318508771929824,0,11353500000,30042000000,33.28894806924101,-2.4700399467376832,-1.1408364083640836,-0.0880022771478722,-0.0350913699822178,-11.3633423180593,,0.4790681818181818,0.4790681818181818,49.66577896138482,2.522068095838588,9.12,2.7324382464208887,0.0,0.0,0.0,396.2233740683289,0.0,396.2233740683289,1.76,0.1929824561403508,0.1929824561403508,1.76,-72.68620689655172,0.2082778812882619,0.0141041499095396,0.0677179440385183,0.2335893458438954,0.7762390670553936,0.2160667709963484,120960250000.0,8.656093459281523,8.656093459281523,6.292147836038286,5.738424498315859,2.2882268926639173,10.13652924256951,0.9119977228521275,25.59786950732357,0.173251231860058,-163.33288948069242,86.56790785393875,1.0,2.8052967793452224,0.0172456140350877,4.469055374592834,62.2676431424767,0.0,1.76,0.6323529411764706,110960250000.0,-166164000000,0.7156147130385001,0.7839332290036516,10.00532623169108,0.1421436949037115,28.06790945406125,0.3987552495176119,,0.2335893458438954,0.0,0.2082778812882619,4.43841,14.767134681927068,5.771964731585518,5.264018691588785,0.181321175891945,4.43841,5.264018691588785,14.767134681927068,-8.236779567030444,4.43841,2.0990550868298588,4.43841,5.771964731585518,5.264018691588785,2.0990550868298588,4.43841,7.023440397596618,0.9211975463543844,0.0,0.0329561403508771,0.0575613348934127,0.30056,0.0335344627523787,70.38881491344874,0.30056,0.1402838646397561,0.1371873935908592,33.28894806924101,21.079,0.0070939427187771,21068000000,28.053262316910786,0.6376811594202898,23355000000,2022,-0.026105967885144025,0.12682383161189384
BA,0.4858351568198395,78487000000,9730500000,11341500000,-26.69860480753068,-2.0541267439905866,-0.6174835775644265,-0.3479498861047836,-0.0183461446072543,-2.8739770867430443,454.9724786010275,0.0616129541586989,0.0616129541586989,28.946041351487644,0.1622840136809843,-8.631870553421898,1.2162195176120465,452.0190631635661,452.0190631635661,58.99597502614648,61.949390463607976,58.99597502614648,61.949390463607976,-3.588805641251653,0.4157622173595915,0.4157622173595915,-3.588805641251653,-2.8739770867430443,0.0,0.0,-0.0445895559611766,-0.0531017295219793,1.4198473282442747,-0.0061728395061728,155709501000.0,-311.419002,-311.419002,67.99541528384279,44.33641828018223,2.3376996907278405,6.313554502369668,0.6520501138952164,3.849386451504455,0.0202078138038976,-148.21608673726678,71.431242950528,0.0525762671150612,-0.6950326538689887,0.0756236323851203,-1.3963679431504146,100.07396201042192,0.8074880679709793,-3.588805641251653,1.4420786016477398,113322501000.0,-43425000000,-84.774,1.0061728395061729,-8.493864515044546,-0.0758617583473456,5.903513195495041,0.0527263992313235,513.968453627174,-0.0531017295219793,6.186862745098039,0.0,-7.134829755084052,-22.426776370472982,49.48580829694323,32.267226936218684,-0.0753963487869325,-7.134829755084052,32.267226936218684,-22.426776370472982,1.375760231129855,-7.134829755084052,1.7013346895267836,-7.134829755084052,49.48580829694323,32.267226936218684,1.7013346895267836,-7.134829755084052,0.316761426731222,5.891906236178682,0.042817679558011,-0.0368563092633114,-0.0751785410644448,0.3181388906377888,-0.0398715399425559,111.9650361405278,0.3181388906377888,-0.0855488782051282,0.0628603170790295,-26.69860480753068,0.6766859344894027,0.0108845784290175,-26216000000,-44.06791057320558,1.3862785154919983,19471000000,2022,0.054072795689687564,0.21881996662852718
CAT,0.7252236310606153,15154000000,8421500000,17622000000,29.170955882352946,-4.7775735294117645,-1.171248310049572,-0.3346639196497553,-0.0437343295135207,-2.988072335513659,175.7673113836968,0.2099316086827237,0.2099316086827237,12.875,0.2221306016301417,5.16371542000126,1.3886334083917415,141.68078253608493,141.68078253608493,75.66467851604438,109.75120736365623,75.66467851604438,109.75120736365623,2.3311487806415023,0.4514479577267125,0.4514479577267125,2.3311487806415023,-48.84276729559748,0.3639075316927666,0.0187230510838498,0.0514500235726282,0.1330035169199185,1.1072874493927125,0.2361745886654479,160309640000.0,12.992109571278062,12.992109571278062,31.025670601896653,20.64249806850373,2.6975893112558267,4.940721649484536,0.6653360803502446,9.498161764705882,0.0396483626845294,-68.9545036764706,89.9428263231037,0.2946808689652851,1.1584128878281623,0.0737829954968697,17.841986455981942,68.81617647058823,2.5762138905961893,2.3311487806415023,0.6183777024264724,130320640000.0,-22267000000,2.430423859307885,0.7661106032906764,12.325367647058824,0.1128275026503104,14.275735294117649,0.13068134013159,251.4319898997412,0.1330035169199185,4.823915295200829,0.3639075316927666,8.212278026340664,19.436337061894108,25.22172246951809,16.780921967550864,0.1472731250105171,8.212278026340664,16.780921967550864,19.436337061894108,2.898443764354956,8.212278026340664,2.192953371363185,8.212278026340664,25.22172246951809,16.780921967550864,2.192953371363185,8.212278026340664,0.7888427262059561,3.325703732721473,0.0305248456088983,0.0818251711555593,0.1567880663334127,0.4225218980402042,0.0883434127831139,109.2408088235294,0.4225218980402042,0.1139667771206308,0.0,29.170955882352946,0.6885362177498006,0.0,9845000000,18.09742647058824,0.6998032613219326,12254000000,2022,0.22731432957418132,0.11271512855035705
CRM,0.2782510056822359,1300000000,2177500000,8762500000,60.87015706806283,-0.7507853403141361,-0.2174044875682231,-0.1195,-0.0270647742714781,-8.368200836820083,209.71660614213533,0.4291538516558186,0.4291538516558186,11.033507853403142,0.2507802460069763,1.6378352342123823,1.04874242702405,75.53515513805864,75.53515513805864,0.0,134.1814510040767,0.0,134.1814510040767,0.240508506648776,0.1468453612578642,0.1468453612578642,0.240508506648776,-8.368200836820083,0.0,0.0,0.0064997716752643,-0.0250264230711158,-2.310708898944193,0.0574412532637075,230678650000.0,87.54407969639469,87.54407969639469,43.66432897974636,38.446441666666665,8.707483391212442,4.651799824407375,0.8805,5.531937172774869,0.0237799818285469,-19.38193717277487,45.50670398964778,0.7347878604861845,4.1551246537396125,0.5977901248831518,0.3020501138952164,12.341361256544502,4.832187070151306,0.240508506648776,0.1861367009212331,222161650000.0,-14228000000,3.232258064516129,0.9425587467362924,1.5120418848167538,0.0545070209874679,6.282722513089006,0.2264834667069304,209.71660614213533,-0.0250264230711158,0.0,0.0,3.821741411639228,153.85155817174515,42.05217679348855,37.026941666666666,0.0578287784991695,3.821741411639228,37.026941666666666,153.85155817174515,-2.320723840435752,3.821741411639228,8.385990110221954,3.821741411639228,42.05217679348855,37.026941666666666,8.385990110221954,3.821741411639228,0.9306040022030476,2.7201971454974845,0.1685414464744073,0.0151666334065056,-0.0090301140000817,0.0248404465775575,0.0377082571682247,27.74031413612565,0.0248404465775575,-0.0082769294325394,0.0980673410841008,60.87015706806283,8.746355685131196,0.1048995923297599,1216000000,1.2732984293193716,0.1938789660528067,1062000000,2022,-0.5414176084787835,0.22298965731429615
CSCO,0.5484670538924704,2063500000,2321500000,10336500000,9.5378896882494,-0.114388489208633,-0.2437404190086867,-0.0360653258732799,-0.0092518959598114,-27.72746331236897,79.9515398030324,1.3900157645822386,1.3900157645822386,4.620383693045564,0.2760920436817473,2.363462650541825,1.4320202808112326,48.543166399088506,48.543166399088506,43.11797607333368,74.52634947727758,43.11797607333368,74.52634947727758,0.239232645261861,0.1012212506116891,0.1012212506116891,0.239232645261861,2.3013746302418654,0.526921774466644,0.0328976404505665,0.06243363255175,0.2709428399635355,1.0363662395303888,0.1840851005042481,191628900000.0,11.406482142857143,11.406482142857143,15.03089654090517,14.488802358989869,3.716835735205695,25.817225838758137,0.96393467412672,3.0573141486810558,0.0673862496954166,-6.182913669064749,24.65534581637804,0.6254824757064996,1.119708770741619,0.4348098976617519,38.80277777777778,2.36810551558753,7.519080996884735,0.239232645261861,0.1746456660233663,189192900000.0,-17512000000,0.145,0.8159148994957519,2.8326139088729017,0.2291056500572182,3.1717026378896884,0.2565316057955273,123.06951587636608,0.2709428399635355,8.465146865409908,0.5269217744666441,4.756817438966133,16.01700812732814,14.839822731194603,14.304619688492362,0.2807960121806932,4.756817438966133,14.304619688492362,16.01700812732814,1.2563340749872995,4.756817438966133,3.669587058983261,4.756817438966133,14.839822731194603,14.304619688492362,3.669587058983261,4.756817438966133,1.16201248049922,4.897596656217346,0.1313885602343038,0.1256569009170017,0.2043386676808753,0.2969853921001684,0.222326789512319,12.36378896882494,0.2969853921001684,0.2312432079016425,0.0407510134414337,9.5378896882494,12.034576888080071,0.036580871656613,-1100000000,-0.2637889688249401,0.1930490180165557,11077000000,2022,-0.2117388569423594,0.08576005793297665
CVX,0.9146634382190766,7276000000,17704500000,19437500000,85.17631028856803,-6.417019647309905,-0.7353391751945585,-0.2419354838709677,-0.0509085046899459,-4.133333333333334,7.509861815774158,2.125198166159647,2.125198166159647,9.57258905887455,0.5167797006548176,1.6179417636644442,1.4716732927970066,18.611648684576625,18.611648684576625,42.777228181902494,31.67544131310003,42.777228181902494,31.67544131310003,0.1465262867116183,0.0905633873865484,0.0905633873865484,0.1465262867116183,-49.6,0.3101649513604962,0.0327721210654302,0.1056602975986804,0.2129248208656991,0.9897190675433352,0.2831662439102951,341312146230.0,5.133285399759362,5.133285399759362,9.077450697606382,6.881293270766129,1.447974249757124,1.6415861718352822,0.7580645161290323,20.10666156157104,0.1120210683691071,-117.82851263644856,190.6455682882391,0.3138594161642987,1.3932584269662922,0.0183229922121462,97.26744186046513,12.756500307214816,19.61137383290893,0.1465262867116183,0.118318138793404,335651146230.0,-207366000000,0.0851406226500225,0.7139549865120586,18.96496681598715,0.1504558432357445,26.52368120888094,0.2104218193851101,50.28708999767665,0.2129248208656991,8.532577156423107,0.3101649513604962,2.107276065280446,9.464292858592978,8.926892186968086,6.767160206250001,0.2107357551640314,2.107276065280446,6.767160206250001,9.464292858592978,0.0713542893594197,2.107276065280446,1.423958162669642,2.107276065280446,8.926892186968086,6.767160206250001,1.423958162669642,2.107276065280446,1.1212874181478016,11.523122800156433,0.0,0.1376164588741565,0.2245627536342119,0.2226554161801082,0.1401850687980014,126.05005168374576,0.2226554161801082,0.1970084832420274,0.0,85.17631028856803,25.25458248472505,0.0247669875316587,-4722000000,-2.5250972312164475,0.1278001982247386,16135000000,2022,0.5165968620547186,0.10837505927133471
DIS,0.4062348070775078,1536500000,16281000000,13009500000,52.14489571899012,-2.7129527991218443,-0.957389114855704,-0.8224625623960067,-0.0597543579700684,-1.2158608132712927,-13.679063656168085,0.1242531373400318,0.1242531373400318,6.374862788144895,0.3995115743129364,2.143303721791849,1.000859904378633,8.371471455656204,8.371471455656204,77.875829471245,55.82529435942071,77.875829471245,55.82529435942071,0.5091044964634557,0.2375325957246195,0.2375325957246195,0.5091044964634557,-1.2158608132712927,0.0,0.0,0.0182987929313246,0.0836415947390053,0.7638387050151756,0.3277199621570482,208623260000.0,17.267278596258897,17.267278596258897,195.5232052483599,34.71268885191348,2.5219803679794977,2.4622574115966187,0.1775374376039933,0.5856201975850713,0.0062082073315495,-40.218441273326015,45.00215376791864,0.0818403810352747,1.6915282859555305,0.4554021735393923,4.952755905511811,27.313940724478595,43.60045924225029,0.5091044964634557,0.3228563079532739,171869260000.0,-66155000000,3.042046018871048,0.5950804162724692,1.7261251372118551,0.0380189066995478,3.2985729967069157,0.0726529822779913,64.19676581507692,0.0836415947390053,4.686948472693613,0.0,1.8089977686089591,54.648413354531,161.0770946579194,28.597214642262895,0.0638886874108459,1.8089977686089591,28.597214642262895,54.648413354531,0.954178645872764,1.8089977686089591,2.077672928604241,1.8089977686089591,161.0770946579194,28.597214642262895,2.077672928604241,1.8089977686089591,0.8346919822515736,6.538254821372115,0.0,0.0154446032283886,0.0396372552389463,0.0331024755810037,0.0283596490437072,45.40175631174534,0.0331024755810037,0.031725770596902,0.0,52.14489571899012,1.957654723127036,0.0118106428761393,15644000000,8.586169045005489,0.3373553638310189,25000000,2022,-0.5106148766677726,0.13738054679961637
DOW,0.9389304159860072,7180000000,5258500000,8654500000,28.73509015256588,-2.854368932038835,-0.7461928934010152,-0.2753177257525083,-0.0361674457839794,-3.632167152575316,65.20917448095898,0.4474440320842811,0.4474440320842811,5.389736477115118,0.3429529609037154,2.9251375615406894,1.807166181272615,52.76635359344616,52.76635359344616,37.30191567710704,49.74473656461987,37.30191567710704,49.74473656461987,0.8063519644753354,0.2756629209775094,0.2756629209775094,0.8063519644753354,-143.75,0.4378000872981231,0.0552142663094712,0.1261175315204374,0.1207338933605145,0.8864628820960698,0.238095238095238,49151190000.0,5.105025965932696,5.105025965932696,9.073507476462987,6.575410033444816,0.8637866858809884,2.6259633577922377,0.7246822742474917,7.513176144244105,0.1491005386831535,-36.28259361997226,64.0999146322767,0.1505043759446065,1.6109913793103448,0.1829282378760127,10.377643504531722,24.08876560332871,6.91728677733257,0.8063519644753354,0.4310273803312004,36331190000.0,-18879000000,1.3315330286663898,0.7523809523809524,6.35506241331484,0.0805244103897929,10.36754507628294,0.1313662085691188,102.51109015806604,0.1207338933605145,9.78502024291498,0.4378000872981231,1.7536050777102037,7.929111741597556,6.706883884068673,4.860359866220736,0.1070261150750413,1.7536050777102037,4.860359866220736,7.929111741597556,-0.3156684108447329,1.7536050777102037,0.6384870479069277,1.7536050777102037,6.706883884068673,4.860359866220736,0.6384870479069277,1.7536050777102037,1.0273585738240223,7.33745970341715,0.0149555375909458,0.0756068181443162,0.1394301022893327,0.2211603436625157,0.0925338772542763,78.92094313453536,0.2211603436625157,0.1352249073650334,0.0294365751643175,28.73509015256588,7.393669634025717,0.0,10161000000,14.092926490984745,0.4463980333475844,9146000000,2022,-0.023602595821613254,0.09147595812313714
